
2024/10/27 (14:54:02) | ===> btop++ v.1.3.2
2024/10/27 (14:54:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/27 (14:54:14) | ===> btop++ v.1.3.2
2024/10/27 (14:54:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (14:57:13) | INFO: Logger set to INFO
2024/10/27 (14:57:13) | INFO: Logger set to DEBUG
2024/10/27 (14:57:18) | INFO: Logger set to INFO
2024/10/27 (15:02:07) | INFO: Quitting! Runtime: 00:07:53

2024/10/27 (16:02:13) | ===> btop++ v.1.3.2
2024/10/27 (16:02:13) | INFO: Logger set to INFO
2024/10/27 (16:02:13) | INFO: Running on /dev/pts/2
2024/10/27 (16:02:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (16:02:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/27 (18:18:28) | ===> btop++ v.1.3.2
2024/10/27 (18:18:28) | INFO: Logger set to INFO
2024/10/27 (18:18:28) | INFO: Running on /dev/pts/1
2024/10/27 (18:18:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (18:18:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/27 (20:10:59) | ===> btop++ v.1.3.2
2024/10/27 (20:10:59) | INFO: Logger set to INFO
2024/10/27 (20:10:59) | INFO: Running on /dev/pts/3
2024/10/27 (20:10:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (20:10:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/10/28 (00:02:16) | ===> btop++ v.1.3.2
2024/10/28 (00:02:16) | INFO: Logger set to INFO
2024/10/28 (00:02:16) | INFO: Running on /dev/pts/3
2024/10/28 (00:02:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (00:02:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
