[26/10/2024, 11:53:52 pm]:[INFO] - [wm] already signed in?,false
[26/10/2024, 11:53:55 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
undefined
undefined
[26/10/2024, 11:54:26 pm]:[ERROR] - uncaughtException: ,{"name":"TypeError","message":"Cannot read properties of undefined (reading 'focus')","stack":"TypeError: Cannot read properties of undefined (reading 'focus')\n    at registeredCancelCallbackMap.focusLastWindow (/opt/figma-linux/resources/app.asar/main/main.js:1:51538)\n    at App.emit (node:events:518:28)\n    at new menuManager (/opt/figma-linux/resources/app.asar/main/main.js:1:45733)\n    at Object.<anonymous> (/opt/figma-linux/resources/app.asar/main/main.js:1:45486)\n    at Module._compile (node:internal/modules/cjs/loader:1391:14)\n    at Module._extensions..js (node:internal/modules/cjs/loader:1451:10)\n    at Module.load (node:internal/modules/cjs/loader:1214:32)\n    at Module._load (node:internal/modules/cjs/loader:1030:12)\n    at c._load (node:electron/js2c/node_init:2:13672)\n    at node:electron/js2c/browser_init:2:125815"}
[26/10/2024, 11:54:31 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[26/10/2024, 11:54:33 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[26/10/2024, 11:54:37 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[26/10/2024, 11:54:39 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[26/10/2024, 11:54:39 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[26/10/2024, 11:54:39 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[26/10/2024, 11:54:39 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[26/10/2024, 11:54:43 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[26/10/2024, 11:54:43 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[26/10/2024, 11:54:43 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[26/10/2024, 11:54:43 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[26/10/2024, 11:54:43 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[27/10/2024, 5:05:25 pm]:[INFO] - [wm] already signed in?,true
[27/10/2024, 5:05:28 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setThemePreference
[27/10/2024, 5:05:28 pm]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
